10,51
20,208
30,460
40,818
50,1273
60,1827
70,2482
80,3236
90,4093
100,5043
110,6099
120,7254
130,8508
140,9864
150,11319
160,12876
170,14532
180,16286
190,18136
200,20094
210,22150
220,24304
230,26561
240,28913
250,31369
260,33921
270,36576
280,39333
290,42188
300,45145
310,48202
320,51355
330,54606
340,57961
350,61415
360,64972
370,68625
380,72381
390,76235
400,80192
410,84251
420,88402
430,92659
440,97016
450,101465
460,106028
470,110674
480,115431
490,120291
500,125237
510,130300
520,135450
530,140709
540,146065
550,151518
560,157075
570,162730
580,168485
590,174336
600,180296
610,186348
620,192505
630,198758
640,205109
650,211570
660,218126
670,224776
680,231531
690,238389
700,245343
710,252401
720,259553
730,266810
740,274164
750,281617
760,289176
770,296827
780,304582
790,312441
800,320390
810,328449
820,336605
830,344858
840,353217
850,361672
860,370219
870,378880
880,387634
890,396485
900,405440
910,414497
920,423653
930,432910
940,442261
950,451712
960,461270
970,470931
980,480684
990,490538
1000,500494
1010,510548
1020,520702
1030,530959
1040,541312
1050,551767
1060,562324
1070,572980
1080,583734
1090,594590
1100,605544
1110,616596
1120,627753
1130,639003
1140,650363
1150,661812
1160,673376
1170,685028
1180,696780
1190,708642
1200,720593
1210,732642
1220,744796
1230,757061
1240,769415
1250,781867
1260,794418
1270,807079
1280,819832
1290,832686
1300,845640
1310,858698
1320,871853
1330,885108
1340,898463
1350,911921
1360,925478
1370,939126
1380,952880
1390,966743
1400,980696
1410,994750
1420,1008905
1430,1023154
1440,1037509
1450,1051968
1460,1066523
1470,1081179
1480,1095930
1490,1110786
1500,1125742
1510,1140801
1520,1155950
1530,1171207
1540,1186562
1550,1202018
1560,1217573
1570,1233228
1580,1248985
1590,1264832
1600,1280795
1610,1296850
1620,1313002
1630,1329257
1640,1345610
1650,1362068
1660,1378620
1670,1395274
1680,1412034
1690,1428889
1700,1445840
1710,1462897
1720,1480051
1730,1497306
1740,1514659
1750,1532121
1760,1549673
1770,1567324
1780,1585077
1790,1602938
1800,1620894
1810,1638947
1820,1657103
1830,1675350
1840,1693714
1850,1712166
1860,1730723
1870,1749372
1880,1768132
1890,1786990
1900,1805945
1910,1824995
1920,1844153
1930,1863406
1940,1882760
1950,1902219
1960,1921769
1970,1941427
1980,1961186
1990,1981039
2000,2000992
2010,2021048
2020,2041202
2030,2061460
2040,2081807
2050,2102265
2060,2122825
2070,2143478
2080,2164232
2090,2185087
2100,2206043
2110,2227094
2120,2248247
2130,2269508
2140,2290859
2150,2312316
2160,2333871
2170,2355527
2180,2377282
2190,2399131
2200,2421092
2210,2443143
2220,2465303
2230,2487557
2240,2509915
2250,2532367
2260,2554918
2270,2577579
2280,2600333
2290,2623183
2300,2646140
2310,2669195
2320,2692351
2330,2715602
2340,2738961
2350,2762416
2360,2785967
2370,2809622
2380,2833383
2390,2857238
2400,2881192
2410,2905247
2420,2929404
2430,2953658
2440,2978008
2450,3002466
2460,3027021
2470,3051678
2480,3076437
2490,3101289
2500,3126243
2510,3151297
2520,3176451
2530,3201708
2540,3227062
2550,3252512
2560,3278072
