2008	168564	0.000000e+000
4008	368961	0.000000e+000
6008	580640	0.000000e+000
8008	801677	0.000000e+000
10008	1028278	0.000000e+000
12008	1257314	0.000000e+000
14008	1493084	0.000000e+000
16008	1729181	1.600000e-002
18008	1971923	1.600000e-002
20008	2215583	1.600000e-002
22008	2461366	1.500000e-002
24008	2707896	1.500000e-002
26008	2959343	1.600000e-002
28008	3212073	1.600000e-002
30008	3465396	3.100000e-002
32008	3717155	3.100000e-002
34008	3973567	1.600000e-002
36008	4235997	3.100000e-002
38008	4497439	3.100000e-002
40008	4760896	3.100000e-002
42008	5022535	3.200000e-002
44008	5284652	3.100000e-002
46008	5549818	3.200000e-002
48008	5814621	3.100000e-002
50008	6081454	4.900000e-002
52008	6350193	3.200000e-002
54008	6621557	4.600000e-002
56008	6891592	4.700000e-002
58008	7160667	4.700000e-002
60008	7428556	4.700000e-002
62008	7699918	4.700000e-002
64008	7970284	6.300000e-002
66008	8237008	4.700000e-002
68008	8513767	7.900000e-002
70008	8787705	1.560000e-001
72008	9062917	6.300000e-002
74008	9337274	4.700000e-002
76008	9612289	6.200000e-002
78008	9886419	6.200000e-002
80008	10159963	6.200000e-002
82008	10436450	6.200000e-002
84008	10712144	7.800000e-002
86008	10989265	9.400000e-002
88008	11268490	6.200000e-002
90008	11543801	6.200000e-002
92008	11821632	7.800000e-002
94008	12101441	6.300000e-002
96008	12380624	6.200000e-002
98008	12659056	7.800000e-002
100008	12940500	6.200000e-002
102008	13228299	9.300000e-002
104008	13512796	7.900000e-002
106008	13798098	9.300000e-002
108008	14080938	1.100000e-001
110008	14371789	9.300000e-002
112008	14655122	9.300000e-002
114008	14940189	9.400000e-002
116008	15220184	9.400000e-002
118008	15509031	7.800000e-002
120008	15789500	9.400000e-002
122008	16079582	9.400000e-002
124008	16356604	1.090000e-001
126008	16646668	9.400000e-002
128008	16924923	9.400000e-002
130008	17212156	9.300000e-002
132008	17490457	9.400000e-002
134008	17790692	1.090000e-001
136008	18072675	1.100000e-001
138008	18374128	9.400000e-002
140008	18653127	1.090000e-001
142008	18953857	1.090000e-001
144008	19239161	1.250000e-001
146008	19537345	1.720000e-001
148008	19818028	1.240000e-001
150008	20117578	1.100000e-001
152008	20405212	1.720000e-001
154008	20702210	1.090000e-001
156008	20981241	1.250000e-001
158008	21282841	1.400000e-001
160008	21571329	1.250000e-001
162008	21862029	1.250000e-001
164008	22143288	1.250000e-001
166008	22448430	1.410000e-001
168008	22737598	1.570000e-001
170008	23035547	1.570000e-001
172008	23322166	1.410000e-001
174008	23626024	1.560000e-001
176008	23912692	1.410000e-001
178008	24209111	1.560000e-001
180008	24492150	1.560000e-001
182008	24800365	1.410000e-001
184008	25092382	1.560000e-001
186008	25386968	1.570000e-001
188008	25671249	1.570000e-001
190008	25975758	1.560000e-001
192008	26267532	1.560000e-001
194008	26568099	1.720000e-001
196008	26849691	1.720000e-001
198008	27156555	1.720000e-001
200008	27454771	1.720000e-001
