1000	9464
2000	20928
3000	33000
4000	45856
5000	59760
6000	72000
7000	85712
8000	99712
9000	114520
10000	129520
11000	143000
12000	156000
13000	170424
14000	185424
15000	200424
16000	215424
17000	231040
18000	247040
19000	263040
20000	279040
21000	294000
22000	308000
23000	322000
24000	336000
25000	350848
26000	366848
27000	382848
28000	398848
29000	414848
30000	430848
31000	446848
32000	462848
33000	479080
34000	496080
35000	513080
36000	530080
37000	547080
38000	564080
39000	581080
40000	598080
41000	615000
42000	630000
43000	645000
44000	660000
45000	675000
46000	690000
47000	705000
48000	720000
49000	735000
50000	751696
51000	768696
52000	785696
53000	802696
54000	819696
55000	836696
56000	853696
57000	870696
58000	887696
59000	904696
60000	921696
61000	938696
62000	955696
63000	972696
64000	989696
65000	1006696
66000	1024160
67000	1042160
68000	1060160
69000	1078160
70000	1096160
71000	1114160
72000	1132160
73000	1150160
74000	1168160
75000	1186160
76000	1204160
77000	1222160
78000	1240160
79000	1258160
80000	1276160
81000	1294160
82000	1312000
83000	1328000
84000	1344000
85000	1360000
86000	1376000
87000	1392000
88000	1408000
89000	1424000
90000	1440000
91000	1456000
92000	1472000
93000	1488000
94000	1504000
95000	1520000
96000	1536000
97000	1552000
98000	1568000
99000	1585392
100000	1603392
